Not ^xnot++not++=Not
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
wear ^vb++++=wear
a ^at++++=a
purple ^jj+atrb+++=purple
satin ^nn++++=satin
dress ^nn++++=dress
with ^in++++=with
a ^at++++=a
sweetheart ^nn++++=sweetheart
neckline ^nn+++??+=neckline
and ^cc++++=and
stand ^vb++++=stand
near ^rb++++=near
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
wouldn ^nn+++??+=wouldn
t ^zz++++=t
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
stop ^vb++++=stop
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
right ^jj++++=right?
? ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
graciously ^rb++++=graciously
accept ^vb+vprv+++=accept.
. ^zz++++=EXTRAWORD
Wait ^vb++++=Wait,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
I ^pp1a+pp1+++=I
m ^zz++++=m
just ^rb+emph+++=just
some ^dti++++=some
lousy ^jj+atrb+++=lousy
maid ^nn++++=maid
of ^in++++=of
honour ^nn++++=honour?
? ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Cooper ^np++++=Cooper.
. ^zz++++=EXTRAWORD
Okay ^rb+cnj+++=Okay,
, ^zz++++=EXTRAWORD
Mary ^np++++=Mary.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
sure ^jj++++=sure
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
the ^ati++++=the
usual ^jj+atrb+++=usual
gang ^nn++++=gang.
. ^zz++++=EXTRAWORD
Penny ^nn++++=Penny
s ^zz++++=s
family ^nn++++=family
is ^vbz+bez+aux++=is
coming ^vbg+++xvbgx+=coming
tomorrow ^nr+tm+++=tomorrow.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
ve ^vb+++??+=ve
met ^vbd+++xvbn+=met
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
right ^jj++++=right?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
can ^md+pos+++=can
see ^vb+vprv+tht0++=see
my ^pp$+pp1+++=my
breath ^nn++++=breath.
. ^zz++++=EXTRAWORD
Sorry ^uh++++=Sorry.
. ^zz++++=EXTRAWORD
Hi ^uh++++=Hi.
. ^zz++++=EXTRAWORD
Sheldon ^np++++=Sheldon.
. ^zz++++=EXTRAWORD
Play ^nn++++=Play
with ^in++++=with
your ^pp$+pp2+++=your
phone ^nn++++=phone.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
realize ^vb+vprv+++=realize
what ^wdt+who+whcl++=what
s ^zz++++=s
happening ^vwbg+++xvbg+=happening
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
took ^vbd+++xvbn+=took
you ^pp2+pp2+++=you
guys ^nns++++=guys
so ^ql++++=so
long ^rb++++=long?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
d ^zz++++=d
be ^vb+be+aux++=be
lost ^vpsv++agls+xvbnx+=lost
without ^in++++=without
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
back ^jjb++++=Back
to ^in++++=to
your ^pp$+pp2+++=your
phone ^nn++++=phone.
. ^zz++++=EXTRAWORD
hear ^vb+vprv+++=Hear,
, ^zz++++=EXTRAWORD
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
